product_id,brewery,name,type,abv,capacity,categories,country
1,Bud Light,Bud Light,Pale Lager,5.8,50,"Pale Lager, Lager, American-Style Lager",United States
2,Coors Beer,Coors Light Lager Beer,Pale Lager,5.6,11,"Pale Lager, Lager, American-Style Lager",United States
3,Miller Brewing Co.,Miller Lite Lager Beer,Pale Lager,5.1,16,"Pale Lager, Lager, American-Style Lager",United States
4,Corona,Corona Extra,Pale Lager,2.6,12,"Pale Lager, Lager, American-Style Lager",Mexico
5,Michelob,Michelob ULTRA,Pale Lager,2.7,80,"Pale Lager, Lager, American-Style Lager",United States
6,Stella Artois,Stella Artois,Pale Lager,5.5,75,"Pale Lager, Lager",Belgium
7,Modelo Beer,Modelo Especial,Pale Lager,4.1,98,"Pale Lager, Lager, American-Style Lager",Mexico
8,Guinness,Guinness Draught,Stout,2.7,22,"Stout, Dry Stout, ALE",Ireland
9,Blue Moon Beer,Blue Moon Belgian White Wheat Beer,Witbier,4.2,92,"Witbier, Wheat Ale, ALE",United States
10,Heineken,Heineken Lager,Pale Lager,4.8,65,"Pale Lager, Lager",Netherlands
11,Budweiser,Budweiser,Pale Lager,4.1,18,"Pale Lager, Lager, American-Style Lager",United States
12,Lagunitas Beer,Lagunitas IPA,IPA,6.4,76,"IPA, ALE",United States
13,Corona,Corona Light,Pale Lager,4.6,9,"Pale Lager, Lager, American-Style Lager",Mexico
14,New Belgium Brewing Company,New Belgium Fat Tire Amber Ale,Amber / Red Ale,2.7,37,"Amber / Red Ale, ALE",United States
15,New Belgium Brewing Company,New Belgium Voodoo Ranger Imperial IPA,IPA,6.1,85,"IPA, Imperial / Double IPA, ALE",United States
16,Yuengling,Yuengling Traditional Lager,Lager,3.5,53,"Lager, Amber / Vienna Lager",United States
17,Corona,Corona Premier,Pale Lager,2.5,96,"Pale Lager, Lager, American-Style Lager",Mexico
18,Pabst Blue Ribbon Beer,Pabst Blue Ribbon,Pale Lager,4.6,48,"Pale Lager, Lager, American-Style Lager",United States
19,Sierra Nevada,Sierra Nevada Hazy Little Thing IPA,New England / Hazy IPA,4.3,11,"New England / Hazy IPA, IPA, ALE",United States
20,Samuel Adams,Samuel Adams Octoberfest,Pale Lager,6.4,66,Seasonal Beer,United States
21,Founders Brewing Company,Founders All Day IPA,Session IPA,2.5,97,"Session IPA, IPA, ALE",United States
22,Dos Equis,Dos Equis Lager,Pale Lager,2.3,84,"Pale Lager, Lager, American-Style Lager",Mexico
23,Miller Brewing Co.,Miller High Life American Lager Beer,Pale Lager,4.7,17,"Pale Lager, Lager, American-Style Lager",United States
24,Coors Beer,Coors Banquet Lager Beer,Pale Lager,3.4,21,"Pale Lager, Lager, American-Style Lager",United States
25,Bud Light,Bud Light Platinum,Pale Lager,2.3,98,"Pale Lager, Lager, American-Style Lager",United States
26,Bell's Brewery,Bell’s Two Hearted Ale IPA,IPA,5.9,49,"IPA, Imperial / Double IPA, ALE",United States
27,Bud Light,Bud Light Lime,Pale Lager,2.7,87,"Pale Lager, Lager, American-Style Lager",United States
28,Modelo Beer,Modelo Negra,Lager,4.9,80,"Lager, Amber / Vienna Lager",Mexico
29,Pacifico,Pacifico Clara,Pale Lager,4.8,15,"Pale Lager, Lager",Mexico
30,Samuel Adams,Samuel Adams Boston Lager Beer,Lager,6.1,82,"Lager, Amber / Vienna Lager",United States
31,Peroni,Peroni Nastro Azzurro Pale Lager Beer,Pale Lager,6.3,49,"Pale Lager, Lager, Dortmunder / Export Lager",Italy
32,Allagash,Allagash White,Witbier,3.6,2,"Witbier, Wheat Ale, ALE",United States
33,Narragansett,Narragansett Lager,Pale Lager,5.2,80,"Pale Lager, Lager, American-Style Lager",United States
34,Busch,Busch Light,Pale Lager,4.0,70,"Pale Lager, Lager, American-Style Lager",United States
35,Guinness,Guinness Extra Stout,Stout,5.4,78,"Stout, Dry Stout, ALE",Ireland
36,Michelob,Michelob Ultra Pure Gold,Pale Lager,5.7,43,"Pale Lager, Lager, American-Style Lager",United States
37,Sierra Nevada,Sierra Nevada Pale Ale,Pale Ale,4.8,13,"Pale Ale, American Pale Ale, ALE",United States
